source_material_code,description,uom,specifications,source_system
HPCL-1269,"8"" BLIND FLANGE ASTM A182 F316L 600# ASME B16.5",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1270,"SMOOTH FINISH BLIND FLANGE, 3"", 300#, ASTM A105",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1271,"RTJ FACING BLIND FLANGE, 2IN, CL 300, ASTM A350 LF2",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1272,DN 80 X DN 50 CENTRIFUGAL PUMP STAINLESS STEEL 316 16 BAR API 610,NOS,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1273,"WITH 2 HEAVY HEX NUTS STUD BOLT, 7/8"" X 5.5"", CLASS 2A/2B, ASTM A193 B8M WITH A194 8M",EA,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1274,CENTRIFUGAL PUMP DN 150 X DN 100 16 BAR DUCTILE IRON DI MULTI STAGE,EA,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1275,"FLOATING BALL VALVE, 1"", 900#, ASTM A216 WCB",NUMBER,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1276,"3-PIECE BALL VALVE, 1/2"", 900#, SS 316",NUMBER,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1277,CENTRIFUGAL PUMP MULTI STAGE DN 80 X DN 50 RATING 25 BAR SS 316,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1278,"8"" BLIND FLANGE ASTM A182 F316L CLASS 600 ASME B16.5",PC,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1279,"FLAT FACE WELD NECK FLANGE, 6"", CL 150, ASTM A182 F304L",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1280,"RISING STEM GATE VALVE, 4"", 900#, ASTM A350 LF2",EA,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1281,"RAISED FACE WELD NECK FLANGE, 10"", 1500#, ASTM A182 F316L",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1282,6IN GATE VALVE ASTM A216 WCB CLASS 300 API 600,NOS,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1283,CENTRIFUGAL PUMP DN 50 X DN 32 16 BAR STAINLESS STEEL 316 HORIZONTAL SPLIT CASE,SET,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1284,BLIND FLANGE 4 INCH 150# ASTM A182 F316L RAISED FACE,NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1285,DN 100 X DN 80 CENTRIFUGAL PUMP DUCTILE IRON DI 40 BAR ISO 2858,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1286,BALL VALVE 3-PIECE DN50 RATING 1500# SS 316,NUMBER,"BS 5351 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1287,"BALL VALVE 2-PIECE 12"" RATING CL 600 ASTM A350 LF2",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1288,"BALL VALVE 1/2"" 300# ASTM A350 LF2 2-PIECE",SET,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1289,"BLIND FLANGE 10"" 300LBS ASTM A350 LF2 RTJ FACING",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1290,"BALL VALVE 1"" 900# ASTM A216 WCB FLOATING",NUMBER,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1291,"1/2"" BALL VALVE SS 316 900# API 608",NUMBER,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1292,"BALL VALVE 1/2"" 600# ASTM A350 LF2 TRUNNION MOUNTED",EA,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1293,"BALL VALVE 3"" 300# ASTM A216 WCB FLOATING",NUMBER,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1294,"BALL VALVE 10"" 600 LB ASTM A216 WCB FULL BORE",SET,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1295,"FLOATING BALL VALVE, 8"", 1500#, SS 316",NOS,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1296,"MULTI STAGE CENTRIFUGAL PUMP, DN 80 X DN 50, 25 BAR, BRONZE",EA,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1297,"2"" BLIND FLANGE ASTM A350 LF2 CLASS 300 ASME B16.5",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1298,2IN SPIRAL WOUND GASKET SS 304 WINDINGS 600# ASME B16.20,EA,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1299,"6"" BALL VALVE DUPLEX 2205 150# API 6D",NUMBER,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1300,"3"" BLIND FLANGE ASTM A105 300# ASME B16.5",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1301,"BALL VALVE TRUNNION MOUNTED 1/2"" RATING 600# ASTM A350 LF2",EA,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1302,"8"" BLIND FLANGE ASTM A182 F316L 600# ASME B16.5",EACH,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1303,"BALL VALVE TRUNNION MOUNTED 10"" RATING 900# DUPLEX 2205",NOS,"BS 5351 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1304,"FLEXIBLE WEDGE GATE VALVE, 6 INCH, 600LBS, SS 316L",PC,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1305,"BALL VALVE FULL BORE 1/2"" RATING 1500# SS 304",NUMBER,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1306,SPIRAL WOUND GASKET DN100 CLASS 600 SS 304 WINDINGS WITH INNER & OUTER RING,NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1307,"3-PIECE BALL VALVE, 1/2"", 900#, SS 316",NUMBER,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1308,"1/2"" BALL VALVE SS 304 1500# ASME B16.34",NUMBER,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1309,"BALL VALVE 2-PIECE 2"" RATING 150# SS 304",SET,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1310,GATE VALVE RISING STEM 6IN RATING 300 LB ASTM A216 WCB,NOS,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1311,"BLIND FLANGE SMOOTH FINISH 8"" RATING 150LBS ASTM A350 LF2",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1312,2 IN SPIRAL WOUND GASKET SS 304 WINDINGS 600# ASME B16.20,PC,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1313,"RING TYPE JOINT WELD NECK FLANGE, 3IN, 600LBS, ASTM A182 F304L",NOS,"DIN 2633 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1314,"BLIND FLANGE 8"" 600# ASTM A350 LF2 RAISED FACE",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1315,CENTRIFUGAL PUMP MULTI STAGE DN 150 X DN 100 RATING 40 BAR DUCTILE IRON DI,SET,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1316,"WELD NECK FLANGE 8"" 150# ASTM A182 F316L FLAT FACE",EACH,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1317,CENTRIFUGAL PUMP DN 80 X DN 50 25 BAR SST 316 MULTI STAGE,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1318,"FLOATING BALL VALVE, 6IN, 150LBS, DUPLEX 2205",NUMBER,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1319,"10"" BLIND FLANGE ASTM A105 300# ASME B16.5",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1320,"SPIRAL WOUND GASKET 8"" 900# SS 316L WINDINGS WITH CS OUTER RING GRAPHITE FILLER",PCS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1321,"BLIND FLANGE SMOOTH FINISH 10"" RATING 300# ASTM A105",EACH,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1322,"GATE VALVE FLEXIBLE WEDGE 6"" RATING 600LBS SS 316L",PC,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1323,"BLIND FLANGE RAISED FACE 4"" RATING 150# ASTM A182 F316L",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1324,"STUD BOLT WITH 2 HEAVY HEX NUTS 7/8"" X 5.5"" RATING CLASS 2A/2B ASTM A193 GRADE B7 WITH A194 2H",EA,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1325,"8"" SPIRAL WOUND GASKET SS 316L WINDINGS WITH CS OUTER RING 900# ASME B16.20",PCS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1326,"6"" GATE VALVE SS 316L 600LBS API 600",PC,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1327,"RING TYPE JOINT WELD NECK FLANGE, 2 IN, 600#, ASTM A350 LF2",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1328,"RTJ FACING BLIND FLANGE, DN50, CLASS 300, ASTM A350 LF2",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1329,"STUD BOLT 3/4"" X 4.5"" CLASS 2A/2B ASTM A320 L7 WITH 2 HEAVY HEX NUTS",NUMBER,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1330,"1"" X 6.5"" STUD BOLT ASTM A320 L7 CLASS 2A/2B ASME B18.2.1",NOS,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1331,"MULTI STAGE CENTRIFUGAL PUMP, DN 80 X DN 50, 25 BAR, BRONZE",EA,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1332,CENTRIFUGAL PUMP DN 80 X DN 50 25 BAR S.S. 316 MULTI STAGE,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1333,"BALL VALVE FLOATING 1"" RATING 900# ASTM A216 WCB",NUMBER,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1334,"RAISED FACE BLIND FLANGE, 2 INCH, 300#, ASTM A350 LF2",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1335,"BALL VALVE 10"" 600LBS ASTM A350 LF2 FLOATING",NOS,"BS 5351 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1336,DN 80 X DN 50 CENTRIFUGAL PUMP DUCTILE IRON DI 40 BAR ISO 2858,EACH,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1337,"SPIRAL WOUND GASKET WITH INNER & OUTER RING 4"" RATING 600 LB SS 304 WINDINGS",EACH,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1338,"SMOOTH FINISH BLIND FLANGE, 3 INCH, CL 300, ASTM A105",PC,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1339,"8"" WELD NECK FLANGE ASTM A182 F316L 150# ASME B16.5",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1340,"2-PIECE BALL VALVE, 12"", 600#, ASTM A350 LF2",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1341,2 INCH BLIND FLANGE ASTM A182 F316L 150# ASME B16.5,PC,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1342,"FLEXIBLE WEDGE GATE VALVE, 2"", 1500#, ASTM A216 WCB",EA,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1343,"7/8"" X 5.5"" STUD BOLT ASTM A193 B8M WITH A194 8M CLASS 2A/2B ASME B18.2.2",EACH,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1344,"SEAMLESS PIPE 6"" SCH 40 API 5L GRADE B THREADED",METER,"API 5L SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1345,"MULTI STAGE CENTRIFUGAL PUMP, DN 80 X DN 50, 25 BAR, STAINLESS STEEL 316",EA,"ISO 5199 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1346,"BLIND FLANGE 8"" CL 600 ASTM A350 LF2 RAISED FACE",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1347,"7/8"" X 5.5"" STUD BOLT ASTM A193 B8M WITH A194 8M CLASS 2A/2B ASME B18.2.2",EA,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1348,CENTRIFUGAL PUMP HORIZONTAL SPLIT CASE DN 100 X DN 80 RATING 40 BAR DUCTILE IRON DI,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1349,"GATE VALVE WEDGE TYPE 6"" RATING 600# ASTM A217 WC6",PC,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1350,3 INCH SPIRAL WOUND GASKET SS 304 WINDINGS 900# ASME B16.20,NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1351,"GRAPHITE FILLER SPIRAL WOUND GASKET, 8"", 900#, SS 316L WINDINGS WITH CS OUTER RING",PCS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1352,"8"" WELD NECK FLANGE ASTM A182 F316L 150# ASME B16.5",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1353,"10"" BLIND FLANGE ASTM A105 300# ASME B16.5",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1354,"RAISED FACE BLIND FLANGE, 8"", CLASS 600, ASTM A350 LF2",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1355,"BLIND FLANGE SMOOTH FINISH 10"" RATING CL 300 ASTM A105",PC,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1356,"FLOATING BALL VALVE, DN150, 150 LB, DUPLEX 2205",NUMBER,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1357,"GRAPHITE FILLER SPIRAL WOUND GASKET, 8"", 900#, SS 316L WINDINGS WITH CS OUTER RING",PCS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1358,BLIND FLANGE 4 IN CL 150 ASTM A182 F316L RAISED FACE,NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1359,WELD NECK FLANGE 6IN 150# ASTM A182 F304L FLAT FACE,EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1360,"FULLY THREADED STUD BOLT, 1"" X 6.5"", CLASS 2A/2B, ASTM A320 L7",NOS,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1361,SPIRAL WOUND GASKET WITH INNER & OUTER RING 4 INCH RATING CL 600 SS 304 WINDINGS,NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1362,"WITH 2 HEAVY HEX NUTS STUD BOLT, 3/4"" X 4.5"", CLASS 2A/2B, ASTM A320 L7",EA,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1363,"RING TYPE JOINT WELD NECK FLANGE, 3"", CLASS 600, ASTM A182 F304L",NOS,"DIN 2633 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1364,"BLIND FLANGE RAISED FACE 2"" RATING 300 LB ASTM A350 LF2",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1365,"BLIND FLANGE 8"" 150# ASTM A182 F316L RTJ FACING",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1366,DN50 SPIRAL WOUND GASKET SS 304 WINDINGS 600# ASME B16.20,EA,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1367,"6"" WELD NECK FLANGE ASTM A182 F304L 1500# ASME B16.5",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1368,WELD NECK FLANGE RAISED FACE 3 IN RATING 1500# ASTM A105,EA,"ASME B16.47 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1369,"BLIND FLANGE 8"" CLASS 600 ASTM A350 LF2 RAISED FACE",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1370,"SPIRAL WOUND GASKET WITH INNER & OUTER RING 4"" RATING 600 LB SS 304 WINDINGS",PC,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1371,"3/4"" X 4.5"" STUD BOLT ASTM A320 L7 CLASS 2A/2B ASME B18.2.1",EA,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1372,"STUD BOLT FULLY THREADED 1"" X 6.5"" RATING CLASS 2A/2B ASTM A320 L7",NOS,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1373,"8"" BLIND FLANGE ASTM A182 F316L 150# ASME B16.5",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1374,"WEDGE TYPE GATE VALVE, 6 IN, 600#, ASTM A217 WC6",PC,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1375,"12"" BALL VALVE ASTM A350 LF2 600 LB API 6D",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1376,SPIRAL WOUND GASKET 2IN 600 LB SS 304 WINDINGS WITH CENTERING RING,EACH,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1377,BLIND FLANGE SMOOTH FINISH 3 IN RATING 300 LB ASTM A105,EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1378,"STUD BOLT 7/8"" X 5.5"" CLASS 2A/2B ASTM A320 L7 WITH 2 HEAVY HEX NUTS",SET,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1379,"10"" WELD NECK FLANGE ASTM A182 F316L 1500# ASME B16.5",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1380,"10"" BALL VALVE ASTM A216 WCB 600# ASME B16.34",SET,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1381,"RISING STEM GATE VALVE, 3"", 900#, SS 316L",NOS,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1382,"SMOOTH FINISH BLIND FLANGE, 1"", CLASS 300, ASTM A350 LF2",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1383,"BALL VALVE 1-1/2"" 1500# SS 316 3-PIECE",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1384,"BALL VALVE TRUNNION MOUNTED 10"" RATING 900# DUPLEX 2205",EACH,"BS 5351 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1385,"MULTI STAGE CENTRIFUGAL PUMP, DN 80 X DN 50, 25 BAR, BRONZE",EA,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1386,"RTJ FACING BLIND FLANGE, 2"", 300#, ASTM A350 LF2",PC,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1387,"SEAMLESS PIPE 6"" SCH 40 API 5L GRADE B THREADED",MTR,"API 5L SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1388,"BALL VALVE 1/2"" 1500# SS 304 FULL BORE",NUMBER,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1389,"GRAPHITE FILLER SPIRAL WOUND GASKET, 8"", 900#, SS 316L WINDINGS WITH CS OUTER RING",PCS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1390,"12"" BALL VALVE ASTM A350 LF2 600# API 6D",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1391,CENTRIFUGAL PUMP MULTI STAGE DN 80 X DN 50 RATING 25 BAR S.S. 316,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1392,"FULL BORE BALL VALVE, 1/2"", 1500#, SS 304",NUMBER,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1393,"MULTI STAGE CENTRIFUGAL PUMP, DN 150 X DN 100, 40 BAR, DUCTILE IRON DI",SET,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1394,"SINGLE STAGE END SUCTION CENTRIFUGAL PUMP, DN 150 X DN 100, 16 BAR, DUCTILE IRON DI",NUMBER,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1395,"5/8"" X 3.5"" STUD BOLT ASTM A193 GRADE B7 WITH A194 2H CLASS 2A/2B ASME B18.2.2",EA,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1396,"BALL VALVE 2-PIECE 1/2"" RATING 300# ASTM A350 LF2",SET,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1397,"PTFE FILLER SPIRAL WOUND GASKET, 4"", 300#, SS 304 WINDINGS",NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1398,"SMOOTH FINISH BLIND FLANGE, 2"", 150LBS, ASTM A182 F316L",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1399,"RAISED FACE BLIND FLANGE, 8"", 600#, ASTM A350 LF2",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1400,WELD NECK FLANGE 3 INCH 600# ASTM A182 F304L RING TYPE JOINT,NOS,"DIN 2633 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1401,"4"" WELD NECK FLANGE ASTM A182 F316L 600 LB ASME B16.47",NUMBER,"ASME B16.47 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1402,"BLIND FLANGE RTJ FACING 10"" RATING 300LBS ASTM A350 LF2",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1403,"BLIND FLANGE RAISED FACE 2"" RATING 300# ASTM A350 LF2",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1404,"STUD BOLT ZINC PLATED 5/8"" X 3.5"" RATING CLASS 2A/2B ASTM A193 GRADE B7 WITH A194 2H",EACH,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
